Auth,Kind,Count
WO,F,115.66666666666667
WO,U,63.5
WO,I,4.833333333333333
UY,F,14.0
UY,U,1.0
US,F,38.5
US,U,17.583333333333332
US,I,1.9166666666666665
TW,U,1.0
SI,F,1.0
SG,F,1.0
RU,F,1.0
RS,F,1.0
PT,F,1.0
PT,U,1.0
PL,F,1.0
PH,F,2.0
PH,U,2.0
PE,F,2.0
NZ,F,1.0
MX,F,26.0
MX,U,4.0
LT,F,1.0
KR,U,74.5
KR,F,26.833333333333332
KR,I,0.6666666666666666
JP,F,14.25
JP,U,13.75
IL,F,1.0
HU,F,1.0
HR,F,1.0
HK,F,1.0
GB,F,1.0
FI,F,1.0
FI,U,1.0
ES,F,5.0
ES,U,1.0
EP,F,83.83333333333333
EP,U,30.5
EP,I,1.6666666666666667
EC,F,1.0
EA,U,1.0
DK,F,4.0
DK,U,1.0
CR,F,1.0
CR,U,1.0
CO,F,7.0
CO,U,1.0
CN,U,504.5
CN,F,124.5
CN,I,1.0
CL,F,16.5
CL,U,2.5
CL,I,1.0
CA,F,61.5
CA,U,17.0
CA,I,1.5
BR,F,37.0
BR,U,12.0
BR,I,1.0
AU,F,37.333333333333336
AU,U,13.0
AU,I,1.6666666666666667
AR,F,40.0
AR,U,10.0
