Auth,Year,Count
AR,2014,1
AR,2015,4
AR,2016,4
AR,2017,3
AR,2018,3
AR,2019,6
AR,2020,9
AR,2021,7
AR,2022,13
AU,2013,1
AU,2014,2
AU,2015,6
AU,2016,2
AU,2017,9
AU,2018,6
AU,2019,8
AU,2020,6
AU,2021,9
AU,2022,3
BR,2013,1
BR,2014,2
BR,2015,8
BR,2016,6
BR,2017,8
BR,2018,5
BR,2019,5
BR,2020,11
BR,2021,4
CA,2013,2
CA,2014,3
CA,2015,7
CA,2016,7
CA,2017,11
CA,2018,10
CA,2019,15
CA,2020,18
CA,2021,7
CL,2013,1
CL,2015,2
CL,2016,2
CL,2017,2
CL,2018,1
CL,2019,4
CL,2020,3
CL,2021,4
CL,2022,1
CN,2013,1
CN,2014,2
CN,2015,12
CN,2016,13
CN,2017,13
CN,2018,28
CN,2019,67
CN,2020,78
CN,2021,94
CN,2022,93
CN,2023,110
CN,2024,125
CO,2016,2
CO,2019,3
CO,2020,1
CO,2021,1
CO,2022,1
CR,2016,1
CR,2020,1
DK,2013,1
DK,2015,1
DK,2016,1
DK,2017,2
EA,2013,1
EA,2015,4
EA,2016,1
EA,2017,3
EA,2018,2
EC,2021,1
EP,2013,1
EP,2014,3
EP,2015,9
EP,2016,9
EP,2017,15
EP,2018,12
EP,2019,13
EP,2020,24
EP,2021,22
EP,2022,7
EP,2023,1
ES,2013,1
ES,2015,1
ES,2016,1
ES,2017,3
FI,2016,1
FI,2017,1
GB,2016,1
HK,2015,1
HR,2013,1
HU,2013,1
IL,2015,1
JP,2012,5
JP,2013,3
JP,2014,2
JP,2015,11
JP,2016,13
JP,2017,16
JP,2018,9
JP,2019,19
JP,2020,11
JP,2021,18
JP,2022,1
KR,2013,1
KR,2015,2
KR,2016,3
KR,2017,4
KR,2018,4
KR,2019,5
KR,2020,22
KR,2021,33
KR,2022,17
KR,2023,14
LT,2013,1
MX,2013,1
MX,2014,2
MX,2015,3
MX,2016,2
MX,2017,2
MX,2019,5
MX,2020,8
MX,2021,7
NZ,2013,1
PE,2019,1
PE,2021,1
PH,2016,1
PH,2018,1
PH,2019,1
PH,2020,1
PL,2013,1
PT,2013,1
PT,2017,1
RS,2013,1
RU,2015,1
RU,2018,1
SG,2017,1
SI,2013,1
TW,2015,1
US,2012,2
US,2013,3
US,2014,2
US,2015,9
US,2016,8
US,2017,7
US,2018,1
US,2019,4
US,2020,8
US,2021,4
US,2022,8
US,2023,2
UY,2015,1
UY,2016,3
UY,2019,2
UY,2020,7
UY,2021,2
WO,2013,1
WO,2014,3
WO,2015,14
WO,2016,17
WO,2017,21
WO,2018,20
WO,2019,18
WO,2020,32
WO,2021,31
WO,2022,19
WO,2023,8
